TIPO DE ARMA,CANTIDAD RETENIDA,MES,ANO
Pistolas,1,abril,2018
Pistola de lanzar gas,1,abril,2018
Revolver,1,abril,2018
Escopeta,4,abril,2018
Fusil M-16,0,abril,2018
Fifle  de aire comprimido,2,abril,2018
Chagon,0,abril,2018
Chilenas,0,abril,2018
Chaleco antibalas,0,abril,2018
Miras telescopicas,2,abril,2018
Capsulas 12 mm  (unidades),0,abril,2018
Capsulas 9 mm (unidades),11,abril,2018
Cargadores para pistola,1,abril,2018
Cartucho 9 mm,0,abril,2018
Perdigones,3000,abril,2018
Armas blancas,0,abril,2018
Pistolas,0,mayo,2018
Pistola de lanzar gas,4,mayo,2018
Revolver,0,mayo,2018
Escopeta,0,mayo,2018
Fusil M-16,0,mayo,2018
Fifle  de aire comprimido,0,mayo,2018
Chagon,0,mayo,2018
Chilenas,2,mayo,2018
Chaleco antibalas,0,mayo,2018
Miras telescopicas,0,mayo,2018
Capsulas 12 mm  (unidades),0,mayo,2018
Capsulas 9 mm (unidades),0,mayo,2018
Cargadores para pistola,35,mayo,2018
Cartucho 9 mm,1,mayo,2018
Perdigones,0,mayo,2018
Armas blancas,1,mayo,2018
Pistolas,3,junio,2018
Pistolas,3,junio,2018
Pistola de lanzar gas,0,junio,2018
Revolver,0,junio,2018
Escopeta,0,junio,2018
Fusil M-16,0,junio,2018
Fifle  de aire comprimido,0,junio,2018
Chagon,0,junio,2018
Chilenas,0,junio,2018
Chaleco antibalas,0,junio,2018
Miras telescopicas,0,junio,2018
Capsulas 12 mm  (unidades),0,junio,2018
Capsulas 9 mm (unidades),0,junio,2018
Cargadores para pistola,0,junio,2018
Cartucho 9 mm,0,junio,2018
Perdigones,0,junio,2018
Armas blancas,0,junio,2018
Pistolas,1,julio,2018
Pistola de lanzar gas,0,julio,2018
Revolver,1,julio,2018
Escopeta,0,julio,2018
Fusil M-16,0,julio,2018
Fifle  de aire comprimido,0,julio,2018
Chagon,0,julio,2018
Chilenas,0,julio,2018
Chaleco antibalas,0,julio,2018
Miras telescopicas,0,julio,2018
Capsulas 12 mm  (unidades),0,julio,2018
Capsulas 9 mm (unidades),0,julio,2018
Cargadores para pistola,0,julio,2018
Cartucho 9 mm,0,julio,2018
Perdigones,0,julio,2018
Armas blancas,0,julio,2018
Pistolas,2,agosto,2018
Pistola de lanzar gas,0,agosto,2018
Revolver,3,agosto,2018
Escopeta,1,agosto,2018
Fusil M-16,0,agosto,2018
Fifle  de aire comprimido,0,agosto,2018
Chagon,0,agosto,2018
Chilenas,0,agosto,2018
Chaleco antibalas,0,agosto,2018
Miras telescopicas,0,agosto,2018
Capsulas 12 mm  (unidades),0,agosto,2018
Capsulas 9 mm (unidades),0,agosto,2018
Cargadores para pistola,0,agosto,2018
Cartucho 9 mm,0,agosto,2018
Perdigones,0,agosto,2018
Armas blancas,0,agosto,2018
Pistolas,7,septiembre,2018
Pistola de lanzar gas,0,septiembre,2018
Revolver,0,septiembre,2018
Escopeta,1,septiembre,2018
Fusil M-16,0,septiembre,2018
Fifle  de aire comprimido,0,septiembre,2018
Chagon,0,septiembre,2018
Chilenas,0,septiembre,2018
Chaleco antibalas,0,septiembre,2018
Miras telescopicas,0,septiembre,2018
Capsulas 12 mm  (unidades),0,septiembre,2018
Capsulas 9 mm (unidades),0,septiembre,2018
Cargadores para pistola,1,septiembre,2018
Cartucho 9 mm,0,septiembre,2018
Perdigones,0,septiembre,2018
Armas blancas,0,septiembre,2018
Mochila Militar,1,septiembre,2018
Gorras Militar,3,septiembre,2018
Pantalones Militar,2,septiembre,2018
Pistolas,1,octubre ,2018
Pistola de lanzar gas,0,octubre ,2018
Revolver,0,octubre ,2018
Escopeta,0,octubre ,2018
Fusil M-16,0,octubre ,2018
Fifle  de aire comprimido,0,octubre ,2018
Chagon,0,octubre ,2018
Chilenas,1,octubre ,2018
Chaleco antibalas,0,octubre ,2018
Miras telescopicas,0,octubre ,2018
Capsulas 12 mm  (unidades),0,octubre ,2018
Capsulas 9 mm (unidades),0,octubre ,2018
Cargadores para pistola,0,octubre ,2018
Cartucho 9 mm,0,octubre ,2018
Perdigones,0,octubre ,2018
Armas blancas,0,octubre ,2018
Pistolas,1,noviembre ,2018
Pistola de lanzar gas,0,noviembre ,2018
Revolver,0,noviembre ,2018
Escopeta,0,noviembre ,2018
Fusil M-16,0,noviembre ,2018
Fifle  de aire comprimido,0,noviembre ,2018
Chagon,0,noviembre ,2018
Chilenas,1,noviembre ,2018
Chaleco antibalas,0,noviembre ,2018
Miras telescopicas,0,noviembre ,2018
Capsulas 12 mm  (unidades),0,noviembre ,2018
Capsulas 9 mm (unidades),0,noviembre ,2018
Cargadores para pistola,0,noviembre ,2018
Cartucho 9 mm,0,noviembre ,2018
Perdigones,0,noviembre ,2018
Armas blancas,0,noviembre ,2018
Pistolas,2,diciembre ,2018
Pistola de lanzar gas,0,diciembre ,2018
Revolver,0,diciembre ,2018
Escopeta,0,diciembre ,2018
Fusil M-16,0,diciembre ,2018
Fifle  de aire comprimido,0,diciembre ,2018
Chagon,0,diciembre ,2018
Chilenas,2,diciembre ,2018
Chaleco antibalas,0,diciembre ,2018
Miras telescopicas,0,diciembre ,2018
Capsulas 12 mm  (unidades),0,diciembre ,2018
Capsulas 9 mm (unidades),11,diciembre ,2018
Cargadores para pistola,0,diciembre ,2018
Cartucho 9 mm,0,diciembre ,2018
Perdigones,0,diciembre ,2018
Armas blancas,0,diciembre ,2018
Pistolas,1,enero,2019
Revolver,2,enero,2019
Pistola de lanzar gases lacrimogeno,0,enero,2019
Escopeta,0,enero,2019
Fusil M-16,1,enero,2019
Capsulas para fusil,22,enero,2019
Rifle,0,enero,2019
Chagón,0,enero,2019
Chilena,3,enero,2019
